"","Country","1985","1990","1995","2000","2005","2010","2015","1950","1955","1960","1965","1970","1975","1980"
"1","Afghanistan","13,120","13,568","19,445","22,461","26,335","29,121","32,564","8,150","8,891","9,829","10,998","12,431","14,132","15,044"
"2","Albania","2,957","3,245","3,158","3,158","3,025","2,987","3,029","1,227","1,392","1,623","1,884","2,157","2,401","2,671"
"3","Algeria","22,008","25,089","28,089","30,429","32,561","34,586","36,640","8,893","9,842","10,909","11,963","13,932","16,140","18,806"
"4","American Samoa","39","47","54","58","62","66","71","19","20","20","25","27","30","32"
"5","Andorra","45","53","63","65","76","85","86","6","6","8","14","20","27","34"
"6","Angola","8,390","9,485","11,000","12,683","14,770","17,043","19,625","4,118","4,423","4,797","5,135","5,606","6,050","7,206"
"7","Anguilla (UK)","7","8","10","11","13","15","16","5","5","6","6","6","6","7"
"8","Antigua and Barbuda","64","64","69","75","81","87","92","46","51","55","59","66","68","69"
"9","Argentina","30,672","33,036","35,274","37,336","39,181","41,343","43,432","17,150","18,928","20,616","22,283","23,962","26,082","28,370"
"10","Armenia","3,374","3,377","3,069","3,043","2,983","2,967","2,984","1,355","1,565","1,869","2,206","2,520","2,834","3,115"
"11","Aruba (Netherlands)","62","63","80","90","97","105","112","50","54","57","59","59","59","60"
"12","Australia","15,695","16,956","17,976","19,053","20,232","21,516","22,751","8,267","9,277","10,361","11,439","12,660","13,771","14,616"
"13","Austria","7,560","7,723","8,047","8,113","8,185","8,214","8,224","6,935","6,947","7,047","7,271","7,467","7,579","7,549"
"14","Azerbaijan","6,845","7,497","8,051","8,463","8,825","9,302","9,781","2,885","3,314","3,882","4,567","5,169","5,696","6,198"
"15","Bahamas","228","245","265","283","297","310","325","70","87","112","139","170","189","210"
"16","Bahrain","423","506","582","655","916","1,180","1,347","115","130","157","191","220","259","348"
"17","Bangladesh","102,308","112,213","121,442","132,151","144,139","156,118","168,958","45,646","49,588","54,593","60,284","67,331","76,153","87,937"
"18","Barbados","257","262","268","274","280","286","291","211","227","232","235","239","247","252"
"19","Belarus","9,982","10,201","10,205","10,034","9,809","9,613","9,439","7,722","7,781","8,168","8,591","9,027","9,360","9,644"
"20","Belgium","9,858","9,969","10,155","10,264","10,364","10,423","10,454","8,639","8,868","9,119","9,448","9,638","9,795","9,847"
"21","Belize","166","191","217","248","281","315","347","66","77","92","107","122","136","144"
"22","Benin","4,030","4,705","5,647","6,619","7,778","9,056","10,449","1,673","1,846","2,055","2,311","2,620","2,996","3,458"
"23","Bermuda (UK)","56","58","60","63","66","68","70","39","41","44","49","53","54","55"
"24","Bhutan","529","615","566","606","655","700","742","164","186","212","254","309","373","446"
"25","Bolivia","5,935","6,574","7,375","8,195","9,073","9,947","10,801","2,766","3,074","3,434","3,853","4,346","4,914","5,441"
"26","Bosnia and Herzegovina","4,275","4,424","3,709","4,035","4,430","4,622","4,618","2,662","2,974","3,240","3,493","3,703","3,980","4,092"
"27","Botswana","1,080","1,265","1,478","1,680","1,840","2,029","2,183","430","461","497","538","584","705","900"
"28","Brazil","137,382","151,170","163,544","176,320","188,993","201,103","212,346","53,443","61,774","71,695","83,093","95,684","108,879","123,020"
"29","British Virgin Islands","13","16","19","23","26","30","33","6","7","7","8","10","11","11"
"30","Brunei","218","253","288","325","361","395","430","45","61","83","102","128","156","185"
"31","Bulgaria","8,944","8,894","8,256","7,818","7,450","7,149","6,867","7,251","7,499","7,867","8,201","8,490","8,721","8,844"
